cod_scuola,anno_corso,scuola,regione,nazionale
ALMM810027,2,0.0,0.1,0.1
ALMM810027,3,0.0,0.1,0.2
ALMM811012,1,0.0,0.1,0.2
ALMM811012,2,0.0,0.1,0.1
ALMM811012,3,0.0,0.1,0.2
ALMM811023,1,0.0,0.1,0.2
ALMM811023,2,0.0,0.1,0.1
ALMM811023,3,0.0,0.1,0.2
ALMM81201T,1,0.0,0.1,0.2
ALMM81201T,2,0.0,0.1,0.1
ALMM81201T,3,0.0,0.1,0.2
ALMM81202V,1,0.0,0.1,0.2
ALMM81202V,2,0.0,0.1,0.1
ALMM81202V,3,0.0,0.1,0.2
ALMM812041,1,0.0,0.1,0.2
ALMM812041,2,0.0,0.1,0.1
ALMM812041,3,0.0,0.1,0.2
ALMM81301N,1,0.0,0.1,0.2
ALMM81301N,2,0.0,0.1,0.1
ALMM81301N,3,0.0,0.1,0.2
ALMM81401D,1,0.0,0.1,0.2
ALMM81401D,2,0.0,0.1,0.1
ALMM81401D,3,0.0,0.1,0.2
ALMM81402E,1,0.0,0.1,0.2
ALMM81402E,2,0.0,0.1,0.1
ALMM81402E,3,0.0,0.1,0.2
ALMM81403G,1,0.0,0.1,0.2
ALMM81403G,2,0.0,0.1,0.1
ALMM81403G,3,0.0,0.1,0.2
ALMM815019,1,0.0,0.1,0.2
ALMM815019,2,0.0,0.1,0.1
ALMM815019,3,0.0,0.1,0.2
ALMM816015,1,0.0,0.1,0.2
ALMM816015,2,0.0,0.1,0.1
ALMM816015,3,0.0,0.1,0.2
ALMM816026,1,0.0,0.1,0.2
ALMM816026,2,0.0,0.1,0.1
ALMM816026,3,0.0,0.1,0.2
ALMM816037,1,0.0,0.1,0.2
ALMM816037,2,0.0,0.1,0.1
ALMM816037,3,0.0,0.1,0.2
ALMM817011,1,0.0,0.1,0.2
ALMM817011,2,0.0,0.1,0.1
ALMM817011,3,0.0,0.1,0.2
ALMM81801R,1,0.0,0.1,0.2
ALMM81801R,2,0.0,0.1,0.1
ALMM81801R,3,0.0,0.1,0.2
ALMM81802T,1,0.0,0.1,0.2
ALMM81802T,2,0.0,0.1,0.1
ALMM81802T,3,0.0,0.1,0.2
ALMM81803V,1,0.0,0.1,0.2
ALMM81803V,2,0.0,0.1,0.1
ALMM81803V,3,0.0,0.1,0.2
ALMM81901L,1,0.0,0.1,0.2
ALMM81901L,2,0.0,0.1,0.1
ALMM81901L,3,0.0,0.1,0.2
ALMM82001R,1,0.0,0.1,0.2
ALMM82001R,2,0.0,0.1,0.1
ALMM82001R,3,0.0,0.1,0.2
ALMM82002T,1,0.0,0.1,0.2
ALMM82002T,2,0.0,0.1,0.1
ALMM82002T,3,0.0,0.1,0.2
ALMM82101L,1,0.0,0.1,0.2
ALMM82101L,2,0.0,0.1,0.1
ALMM82101L,3,0.0,0.1,0.2
ALMM82102N,1,0.0,0.1,0.2
ALMM82102N,2,0.0,0.1,0.1
ALMM82102N,3,0.0,0.1,0.2
ALMM82103P,1,0.0,0.1,0.2
ALMM82103P,2,0.0,0.1,0.1
ALMM82103P,3,0.0,0.1,0.2
ALMM82201C,1,0.0,0.1,0.2
ALMM82201C,2,0.0,0.1,0.1
ALMM82201C,3,0.0,0.1,0.2
ALMM82202D,1,2.2,0.1,0.2
ALMM82202D,2,0.0,0.1,0.1
ALMM82202D,3,0.0,0.1,0.2
ALMM823018,1,3.4,0.1,0.2
ALMM823018,2,0.0,0.1,0.1
ALMM823018,3,0.0,0.1,0.2
ALMM824014,1,0.0,0.1,0.2
ALMM824014,2,0.0,0.1,0.1
ALMM824014,3,0.0,0.1,0.2
ALMM824025,1,0.0,0.1,0.2
ALMM824025,2,0.0,0.1,0.1
ALMM824025,3,0.0,0.1,0.2
ALMM82501X,1,0.0,0.1,0.2
ALMM82501X,2,0.0,0.1,0.1
ALMM82501X,3,0.0,0.1,0.2
ALPC00901C,1,0.0,0.0,0.3
ALPC00901C,2,0.0,0.0,0.1
ALPC00901C,3,0.0,0.0,0.2
ALPC00901C,4,0.0,0.0,0.1
ALPC00901C,5,0.0,0.0,0.1
ALPC01601G,1,0.0,0.0,0.3
ALPC01601G,2,0.0,0.0,0.1
ALPC01601G,3,0.0,0.0,0.2
ALPC01601G,4,0.0,0.0,0.1
ALPC01601G,5,0.0,0.0,0.1
ALPM01601Q,1,0.0,0.0,0.3
ALPM01601Q,2,0.0,0.0,0.1
ALPM01601Q,3,0.0,0.0,0.2
ALPM01601Q,4,0.0,0.0,0.1
ALPM01601Q,5,0.0,0.0,0.1
ALPS001011,1,0.0,0.0,0.3
ALPS001011,2,0.0,0.0,0.1
ALPS001011,3,0.0,0.0,0.2
ALPS001011,4,0.0,0.0,0.1
ALPS001011,5,0.0,0.0,0.1
ALPS00401C,1,0.0,0.0,0.3
ALPS00401C,2,0.0,0.0,0.1
ALPS00401C,3,0.0,0.0,0.2
ALPS00401C,4,0.0,0.0,0.1
ALPS00401C,5,0.0,0.0,0.1
ALPS00701X,1,0.0,0.0,0.3
ALPS00701X,2,0.0,0.0,0.1
ALPS00701X,3,0.0,0.0,0.2
ALPS00701X,4,0.0,0.0,0.1
ALPS00701X,5,1.7,0.0,0.1
ALPS00901G,1,0.0,0.0,0.3
ALPS00901G,2,0.0,0.0,0.1
ALPS00901G,3,0.0,0.0,0.2
